,question,explanation,answer,index
1152,"A stone is thrown vertically upwards. The variation with time t of the displacement s of the stone is shown in Fig. 2.1.  (DIAGRAM)Assume air resistance is negligible and therefore the stone has constant acceleration. Calculate, for the stone,   the speed at 3.0 s,  speed = ............................................... m s???1 [3]",   Equation for uniformly accelerated motion:   v = u + at?? ?? (or s = ut + ??at2?? ??and?? ??v2??= u2??+ 2as)  {Consider the motion starting at time 1.25s. The ball is at its highest position where its speed is zero (this is taken as the initial speed u). The acceleration (due to gravity) is downwards. The duration of the motion until the time is 3.0s is given by (3.00 ? ? 1.25) s.}   v = 0 + (3.00 ? ? 1.25) ?? 9.81 v = 17.2 (17.17) m s? ?1 ,v = u + at (or s = ut + ??at2 and v2 = u2??+ 2as) ?? ??= 0 + (3.00 ? ? 1.25) ?? 9.81 ?? ??= 17.2 (17.17)m s? ?1 C1 C1 A1 [3],"(362, 'b.i')"
1153,"A stone is thrown vertically upwards. The variation with time t of the displacement s of the stone is shown in Fig. 2.1.  (DIAGRAM)Assume air resistance is negligible and therefore the stone has constant acceleration. Calculate, for the stone,   the distance travelled from t = 0 to t = 3.0 s,  distance = ..................................................... m [3]",  s = ut + ??at2   From t = 0 to t = 1.25s:  distance s = ?? ?? 9.81 ?? (1.25)2??[= 7.66]  From t = 1.25s to t = 3.0s (time taken = 3.0 ? ? 1.25 = 1.75s) From t = 1.25s to t = 3.0s:  distance s = ?? ?? 9.81 ?? (1.75)2??[= 15.02] (distance = 7.66 + 15.02) Distance = 22.7 (22.69 or 23) m,s = ut + ??at2 s = ?? ?? 9.81 ?? (1.25)2??[= 7.66] s = ?? ?? 9.81 ?? (1.75)2??[= 15.02]?? (distance = 7.66 + 15.02) [v = u + at = 0 + 9.81 ?? (2.50 ? ? 1.25) = 12.26ms? ?1] C1 C1 [3] or s = ?? ?? 9.81 ?? (1.25)2??[= 7.66] s = 12.26 ?? 0.50 + ?? ?? 9.81 ?? (3.00 ? ? 2.50)2??[= 7.36] (distance = 2 ?? 7.66 + 7.36) (C1) (C1) Example alternative method: s = (v2 ? ? u2)/2a = (12.262 ? ? 0)/2 ?? 9.81 [= 7.66]?? s = (v2 ? ? u2)/2a = (17.172 ? ? 12.262)/2 ?? 9.81 [= 7.36] (distance = 2 ?? 7.66 + 7.36) (C1) (C1) 22.7 (22.69 or 23)m A1,"(362, 'b.ii')"
1154,"A stone is thrown vertically upwards. The variation with time t of the displacement s of the stone is shown in Fig. 2.1.  (DIAGRAM)Assume air resistance is negligible and therefore the stone has constant acceleration. Calculate, for the stone,   the displacement from t = 0 to t = 3.0 s.  displacement = ........................................... m direction ........................................................... [2]",   {From t = 0 to t = 1.25s: distance moved up = 7.66m From t = 1.25s to t = 3.0s: distance moved down = 15.02m}   Displacement s = 15.02 ? ? 7.66 = 7.4 (7.36) m Displacement is down,(s = 15.02 ? ? 7.66 =) 7.4 (7.36)m (ignore sign in answer) down A1 A1 [2],"(362, 'b.iii')"
1155,"A stone is thrown vertically upwards. The variation with time t of the displacement s of the stone is shown in Fig. 2.1.  (DIAGRAM)On Fig. 2.2, draw the variation with time t of the velocity v of the stone from t = 0 to t = 3.0 s. [3]  (DIAGRAM) ","It is a straight line from positive value of v to t axis. The same straight line??crosses??t axis at t = 1.25 s. The same straight line continues with same gradient to t = 3.0 s.  {Since the acceleration is constant, the gradient of the velocity-time graph should be constant. We do not know the initial value of velocity at t = 0. It is taken to be a positive value (since the initial upwards displacement is taken as positive in the graph above). Since the acceleration of free fall opposes the initial motion of the stone, it would have a negative value. Thus, the gradient is negative.}   (DIAGRAM)  ",straight line from positive value of v to t axis same straight line crosses t axis at t = 1.25 s same straight line continues with same gradient to t = 3.0 s M1 A1 A1 [3],"(362, 'c')"
1156,"The variation with time t of the velocity v of a ball is shown in Fig. 2.1.  (DIAGRAM)  The ball moves in a straight line from a point P at t = 0. The mass of the ball is 400 g.  Use Fig. 2.1 to describe, without calculation, the velocity of the ball from t = 0 to t = 16 s.  ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ...............................................................................................................................................[2]  ",The speed decreases/stone decelerates??to rest/zero??at 1.25 s. The speed then increases/stone accelerates (in opposite direction),constant rate of increase in velocity/acceleration from t = 0 to t = 8s constant deceleration from t = 8 s to t = 16s or constant rate of increase in velocity in the opposite direction from t = 10s to t = 16s B1 B1 [2],"(364, 'a')"
1157,"The variation with time t of the velocity v of a ball is shown in Fig. 2.1.  (DIAGRAM)  The ball moves in a straight line from a point P at t = 0. The mass of the ball is 400 g.  Use Fig. 2.1 to calculate, for the ball,  the displacement from P at t = 10 s,      displacement = ...................................................... m [2]  ",   Equation for uniformly accelerated motion:   v = u + at?? (or s = ut + ??at2????and?? v2??= u2??+ 2as)  {Consider the motion starting at time 1.25s. The ball is at its highest position where its speed is zero (this is taken as the initial speed u). The acceleration (due to gravity) is downwards. The duration of the motion until the time is 3.0s is given by (3.00 ? ? 1.25) s.}   v = 0 + (3.00 ? ? 1.25) ?? 9.81 v = 17.2 (17.17) m s? ?1,area under lines to 10s (displacement =) (5.0 ?? 8.0) / 2 + (5.0 ?? 2.0) / 2 = 25 m or ?? (10.0 ?? 5.0) = 25m C1  A1 [2],"(364, 'b.i')"
1158,"The variation with time t of the velocity v of a ball is shown in Fig. 2.1.  (DIAGRAM)  The ball moves in a straight line from a point P at t = 0. The mass of the ball is 400 g.  Use Fig. 2.1 to calculate, for the ball,  the acceleration at t = 10 s,      acceleration = ................................................ m s? ?2 [2]  ",  s = ut + ??at2   From t = 0 to t = 1.25s:  distance s = ?? ?? 9.81 ?? (1.25)2??[= 7.66]  From t = 1.25s to t = 3.0s (time taken = 3.0 ? ? 1.25 = 1.75s)  From t = 1.25s to t = 3.0s:  distance s = ?? ?? 9.81 ?? (1.75)2??[= 15.02] (distance = 7.66 + 15.02) Distance = 22.7 (22.69 or 23) m,a = (v ? ? u)/t or gradient of line ?? = (? ?15.0 ? ?5.0) / 8.0 ?? = (? ?) 2.5 ms? ?2 C1  A1 [2],"(364, 'b.ii')"
1159,"The variation with time t of the velocity v of a ball is shown in Fig. 2.1.  (DIAGRAM)  The ball moves in a straight line from a point P at t = 0. The mass of the ball is 400 g.  Use Fig. 2.1 to calculate, for the ball,  the maximum kinetic energy.      kinetic energy = ....................................................... J [2]??  ",   {From t = 0 to t = 1.25s: distance moved up = 7.66m From t = 1.25s to t = 3.0s: distance moved down = 15.02m}  Displacement s = 15.02 ? ? 7.66 = 7.4 (7.36) m Displacement is down,KE = ??mv2?? ?? ?? = 0.5 ?? 0.4 ?? (15.0)2 = 45 J C1 A1 [2],"(364, 'b.iii')"
1160,The variation with time t of the velocity v of a ball is shown in Fig. 2.1.  (DIAGRAM)  The ball moves in a straight line from a point P at t = 0. The mass of the ball is 400 g.  Use your answers in (b)(i) and (b)(ii) to determine the time from t = 0 for the ball to return to P.      time = ....................................................... s [2],"It is a straight line from positive value of v to t axis. The same straight line??crosses??t axis at t = 1.25 s. The same straight line continues with same gradient to t = 3.0 s.  {Since the acceleration is constant, the gradient of the velocity-time graph should be constant. We do not know the initial value of velocity at t = 0. It is taken to be a positive value (since the initial upwards displacement is taken as positive in the graph above). Since the acceleration of free fall opposes the initial motion of the stone, it would have a negative value. Thus, the gradient is negative.}  (DIAGRAM)  ",(distance =) 25(m) (= ut + ??at2) = 0 + ?? ?? 2.5 ?? t2 (t = 4.5 (4.47) s therefore) time to return = 14.5s C1 A1 [2],"(364, 'c')"
1161,The strain in a beam is to be monitored using a strain gauge. The strain gauge is included in the potential divider circuit shown in Fig. 9.1.  (DIAGRAM)  The strain gauge has a resistance of 120.0 ?? when it is not strained. The resistance increases to 121.5 ?? when the strain is ??. Calculate the potential difference between points A and B on Fig. 9.1 when the strain in the gauge is ??.  potential difference = ............................................... mV [3]," {The p.d. across each of the parallel branch is 2000mV. Since the resistances are equal in the right branch, the potential at B would be exactly half of the p.d. across the branch.} Potential at B, VB??= 1000 mV  {The resistance of the strain gauge is 121.5 ?? when the strain is ??. Note that the bottom junction of the strain gauge is connected to earth and is thus at a potential of 0V. Potential difference across strain gauge = potential at A ? ? potential at bottom junction p.d across strain gauge = VA??? ? 0 = VA From the potential divider equation,}  when strained, potential at A, VA??= 2000 ?? 121.5 / (121.5 +120.0) = 1006.2 mV p.d. between points A and B {= 1006.2 ? ? 1000} = 6.2 mV","VB = 1000 mV when strained, VA = 2000 ?? 121.5/(121.5 +120.0) ?? ?? ?? ?? ?? ?? ??= 1006.2 mV change = 6.2mV (allow 6mV) C1  M1 A1 [3]","(365, 'a')"
1162,"An inverting amplifier, incorporating an operational amplifier (op-amp), uses a high-resistance voltmeter to display the output. A partially completed circuit for the amplifier is shown in Fig. 9.2.  (DIAGRAM)  The voltmeter is to indicate a full-scale deflection of +6.0 V for an input potential VIN of 0.15 V.   On Fig. 9.2, 1. complete the circuit for the inverting amplifier, [2] 2. mark, with the letter P, the positive terminal of the voltmeter. [1]  ","  1. resistor between VIN??and V? ???and V+??is connected to earth resistor between V? ???and VOUT   {For an inverting amplifier, V+??is connected to earth (0V). The input voltage is applied to an input resistor between VIN??and V? ?. Negative feedback is applied by means of a resistor between V? ???and VOUT.}   2. P / + sign shown on earth side of voltmeter  {The level connected to the ? ?earth? ? is at 0V. Providing a positive input potential to an inverting signal would give a negative output potential at the output of the amplifier. Thus, relative to the output of the amplifier, the earth side of the voltmeter is positive.}    (DIAGRAM) ",1. resistor between VIN and V? ? and V+??connected to earth ?? ?? resistor between V? ???and VOUT B1 B1 [2] 2. P/+ sign shown on earth side of voltmeter B1 [1],"(365, 'b.i')"
1163,"An inverting amplifier, incorporating an operational amplifier (op-amp), uses a high-resistance voltmeter to display the output. A partially completed circuit for the amplifier is shown in Fig. 9.2.  (DIAGRAM)  The voltmeter is to indicate a full-scale deflection of +6.0 V for an input potential VIN of 0.15 V.   Suggest appropriate values for the resistors you have shown in Fig. 9.2. Label the resistors in Fig. 9.2 with these values. [2]","   {Voltage gain = VOUT??/ VIN??= - RF??/ RIN As given in the question, when VIN??= 0.15V, VOUT??= +6.0 V Voltage gain = 6.0 / 0.15 = 40} Thus, neglecting the negative sign,  ratio of RF??/ RIN??= 40  For a realistic value,  RIN??should be between 100 ?? and 10 k??  Example: RIN??= 200 ??, RF??= 40 200 = 8000 ?? = 8 k?? ",ratio of RF /RIN = 40 RIN between 100??? and 10k??? (any values must link to the correct resistors on the diagram) M1 A1 [2],"(365, 'b.ii')"
1164,"A solenoid is connected in series with a resistor, as shown in Fig. 7.1.  (DIAGRAM)  As the magnet is being moved into the solenoid, thermal energy is transferred in the resistor. Use laws of electromagnetic induction to explain the origin of this thermal energy. ............................................................................[4]",The moving magnet gives rise to/causes/induces an e.m.f./current in solenoid/coil. This (induced current) creates a field/flux in the solenoid that opposes the (motion of) magnet. Work is done/energy is needed to move the magnet (into the solenoid). The (induced) current gives heating effect (in resistor) which comes from the work done.,moving magnet gives rise to/causes/induces e.m.f./current in solenoid/coil B1 4] (induced current) creates field/flux in solenoid that opposes (motion of) magnet B1 work is done/energy is needed to move magnet (into solenoid) B1 (induced) current gives heating effect (in resistor) which comes from the work done B1,"(366, 'a')"
