,Prompt
722,Same plates. A beta-plus particle entering horizontally near the top plate is shown curving downwards towards the negative bottom plate – similar path to alpha but with a different radius of curvature due to mass/charge ratio.
723,"Same plates. A gamma-ray photon is shown entering horizontally and continuing in a perfectly straight line, completely unaffected by the electric field between the plates."
724,"A wire with electrons flowing left to right. An ammeter reads ""1 A"". A clock shows ""1 s"". A label: ""Charge passed = 1 C""."
725,"A positive charge on the left and negative charge on the right. Field lines start at the positive charge and curve inward, ending at the negative charge. Lines are symmetric, densest near the charges, and parallel/straight midway between them."
726,"Imagine a central bright vertical line. To its left and right, at increasing angles, are fainter vertical lines, equally spaced horizontally but all oriented vertically, like a series of thin, parallel stripes."
727,"Screen moved closer; fringes converge toward the central maximum, reducing separation."
728,"Slits farther apart; wave paths from each slit become less divergent, reducing fringe spacing."
729,"Imagine a gap in a barrier. Incident plane waves approach the gap. After passing through, the wavefronts become semicircular arcs, expanding outward from the center of the gap."
730,"A sinusoidal wave labeled ""Original: Amplitude = A, Intensity = I"". Below it, a wave with half the peak height labeled ""New: Amplitude = A/2, Intensity = I/4"". The reduced amplitude visually confirms the lower energy."
731,"A curved track from X to Y, with X higher than Y by 0.40 m. Arrows show the ball's motion direction. No friction forces are depicted."
732,"Imagine the rod leaning against a vertical wall. Point X is at the wall, Z is a support along the rod, and Y is the free end with weight W. Force F at X is shown as an arrow pointing upward and to the right, at an angle θ above the horizontal. The horizontal component of F pushes the rod away from the wall, while the vertical component lifts it upward."
733,"Two thermometers submerged in a stirred beaker. Arrows show circular fluid motion, indicating homogeneous temperature."
734,"A meter scale showing FSD at the right; readings in the left half have wider spacing between marks, reducing precision."
735,"The trace shows a sinusoidal wave with one full cycle—e.g., from crest to crest—covering 6 cm horizontally."
736,"The trace has a center line; the maximum vertical displacement from this line to a peak is 3 cm, indicating the amplitude."
737,Imagine field lines pointing to the *right* → representing the direction a *positive* test charge would move.
738,"A wave with short wavelength passing through a large gap shows slight bending at the edges, while a wave with long wavelength through a small gap shows pronounced spreading."
739,"Sketch a stationary wave with antinodes labeled P and Q. Arrows at S and T show S moving down and T moving up, illustrating opposite directions."
740,"Wave oscillates from t=0 to t=20 μs, with peaks at t=5 μs and t=25 μs"
741,"Cycle ends at t=20 μs, not 25 μs"
742,"A wave traveling rightward with amplitude decreasing with distance. Particle P₁ at position x₁ has amplitude A₁, while the next particle P₂ at x₂ = x₁ + \Delta x has amplitude A₂ < A₁."
743,"Three vectors: one pointing east, one at 120° northeast, and one at 240° northwest, all of equal magnitude. When placed head-to-tail, they form an equilateral triangle, closing perfectly."
744,"Two vectors: one pointing northeast and one pointing southeast, both of equal magnitude. When placed head-to-tail: vector 1 northeast ends at B; vector 2 southeast starts at B and ends at C, below the starting point."
745,"Four vectors: east, north, west, and south. The north vector is longer than the south vector, and the east/west vectors are equal. When placed head-to-tail: start at origin, vector 1 east ends at B; vector 2 north ends at C; vector 3 west ends at D; vector 4 south ends at E, above the origin."
746,"Imagine a square wave displayed on an oscilloscope grid. Each cycle consists of a high flat segment followed by a low flat segment. The horizontal axis has divisions, and one full cycle spans approximately 6 divisions."
747,"A simple graph showing power vs. time. Power values are plotted as points without directional arrows, emphasizing it lacks direction."
748,"Battery connected to two resistors in parallel, then connected in series to a third resistor. The parallel branch has two 6.0 Ω resistors side by side, and the third resistor is in series with this combination."
749,Battery connected to a single path with all three resistors in a row.
750,"Battery connected to three resistors, each directly across the battery terminals."
751,"Battery connected to two resistors in series, with this pair connected in parallel to a third resistor."
752,"A wire of length L and cross-sectional area A, with current flow lines parallel to the length, illustrating that resistance increases with L and decreases with A."
753,"Filament lamp I-V graph curves symmetrically upward from the origin in both quadrants, showing decreased slope at higher |V|."
754,"Straight line through origin with constant slope, extending equally into both quadrants."
755,"A wave approaches a barrier with gap width *a*. After passing through, the wavefronts curve outward. Smaller *a* or larger *λ* increases the curvature angle θ."
756,"The c.r.o. screen displays a sinusoidal waveform. One complete cycle—e.g., from a peak to the next identical peak—covers 2.8 horizontal divisions. The time-base is set to 5.0 ms/div, so each division represents 5 ms."
757,"In a d-x graph, the horizontal distance between two crests should be λ, not T."
758,"In a d-x graph, amplitude a is from equilibrium to crest, not crest to trough."
